InvestigationDate,CustomerId,Current
2026-04-01,C2001,0.80
2026-04-01,C2002,0.81
2026-04-01,C2003,0.82
2026-04-01,C2004,0.83
2026-04-01,C2005,0.84
2026-04-01,C2006,0.85
2026-04-01,C2007,0.86
2026-04-01,C2008,0.87
2026-04-01,C2009,0.88
2026-04-01,C2010,0.89
2026-04-01,C2011,0.90
2026-04-01,C2012,0.91
2026-04-01,C2013,0.92
2026-04-01,C2014,0.93
2026-04-01,C2015,0.94
2026-04-01,C2016,0.95
2026-04-01,C2017,0.96
2026-04-01,C2018,0.97
2026-04-02,C2021,0.80
2026-04-02,C2022,0.81
2026-04-02,C2023,0.82
2026-04-02,C2024,0.83
2026-04-02,C2025,0.84
2026-04-02,C2026,0.85
2026-04-02,C2027,0.86
2026-04-02,C2028,0.87
2026-04-02,C2029,0.88
2026-04-02,C2030,0.89
2026-04-02,C2031,0.90
2026-04-02,C2032,0.91
2026-04-02,C2033,0.92
2026-04-02,C2034,0.93
2026-04-02,C2035,0.94
2026-04-02,C2036,0.95
2026-04-02,C2037,0.96
2026-04-02,C2038,0.97
2026-04-07,C2041,0.80
2026-04-07,C2042,0.81
2026-04-07,C2043,0.82
2026-04-07,C2044,0.83
2026-04-07,C2045,0.84
2026-04-07,C2046,0.85
2026-04-07,C2047,0.86
2026-04-07,C2048,0.87
2026-04-07,C2049,0.88
2026-04-07,C2050,0.89
2026-04-07,C2051,0.90
2026-04-07,C2052,0.91
2026-04-07,C2053,0.92
2026-04-07,C2054,0.93
2026-04-07,C2055,0.94
2026-04-07,C2056,0.95
2026-04-07,C2057,0.96
2026-04-07,C2058,0.97
2026-04-09,C2061,0.80
2026-04-09,C2062,0.81
2026-04-09,C2063,0.82
2026-04-09,C2064,0.83
2026-04-09,C2065,0.84
2026-04-09,C2066,0.85
2026-04-09,C2067,0.86
2026-04-09,C2068,0.87
2026-04-09,C2069,0.88
2026-04-09,C2070,0.89
2026-04-09,C2071,0.90
2026-04-09,C2072,0.91
2026-04-09,C2073,0.92
2026-04-09,C2074,0.93
2026-04-09,C2075,0.94
2026-04-09,C2076,0.95
2026-04-09,C2077,0.96
2026-04-09,C2078,0.97
2026-04-13,C2081,0.80
2026-04-13,C2082,0.81
2026-04-13,C2083,0.82
2026-04-13,C2084,0.83
2026-04-13,C2085,0.84
2026-04-13,C2086,0.85
2026-04-13,C2087,0.86
2026-04-13,C2088,0.87
2026-04-13,C2089,0.88
2026-04-13,C2090,0.89
2026-04-13,C2091,0.90
2026-04-13,C2092,0.91
2026-04-13,C2093,0.92
2026-04-13,C2094,0.93
2026-04-13,C2095,0.94
2026-04-13,C2096,0.95
2026-04-13,C2097,0.96
2026-04-13,C2098,0.97
2026-04-15,C2101,0.80
2026-04-15,C2102,0.81
2026-04-15,C2103,0.82
2026-04-15,C2104,0.83
2026-04-15,C2105,0.84
2026-04-15,C2106,0.85
2026-04-15,C2107,0.86
2026-04-15,C2108,0.87
2026-04-15,C2109,0.88
2026-04-15,C2110,0.89
2026-04-15,C2111,0.90
2026-04-15,C2112,0.91
2026-04-15,C2113,0.92
2026-04-15,C2114,0.93
2026-04-15,C2115,0.94
2026-04-15,C2116,0.95
2026-04-15,C2117,0.96
2026-04-15,C2118,0.97
2026-04-17,C2121,0.80
2026-04-17,C2122,0.81
2026-04-17,C2123,0.82
2026-04-17,C2124,0.83
2026-04-17,C2125,0.84
2026-04-17,C2126,0.85
2026-04-17,C2127,0.86
2026-04-17,C2128,0.87
2026-04-17,C2129,0.88
2026-04-17,C2130,0.89
2026-04-17,C2131,0.90
2026-04-17,C2132,0.91
2026-04-17,C2133,0.92
2026-04-17,C2134,0.93
2026-04-17,C2135,0.94
2026-04-17,C2136,0.95
2026-04-17,C2137,0.96
2026-04-17,C2138,0.97
2026-04-21,C2141,0.80
2026-04-21,C2142,0.81
2026-04-21,C2143,0.82
2026-04-21,C2144,0.83
2026-04-21,C2145,0.84
2026-04-21,C2146,0.85
2026-04-21,C2147,0.86
2026-04-21,C2148,0.87
2026-04-21,C2149,0.88
2026-04-21,C2150,0.89
2026-04-21,C2151,0.90
2026-04-21,C2152,0.91
2026-04-21,C2153,0.92
2026-04-21,C2154,0.93
2026-04-21,C2155,0.94
2026-04-21,C2156,0.95
2026-04-21,C2157,0.96
2026-04-21,C2158,0.97
2026-04-23,C2161,0.80
2026-04-23,C2162,0.81
2026-04-23,C2163,0.82
2026-04-23,C2164,0.83
2026-04-23,C2165,0.84
2026-04-23,C2166,0.85
2026-04-23,C2167,0.86
2026-04-23,C2168,0.87
2026-04-23,C2169,0.88
2026-04-23,C2170,0.89
2026-04-23,C2171,0.90
2026-04-23,C2172,0.91
2026-04-23,C2173,0.92
2026-04-23,C2174,0.93
2026-04-23,C2175,0.94
2026-04-23,C2176,0.95
2026-04-23,C2177,0.96
2026-04-23,C2178,0.97
2026-04-27,C2181,0.80
2026-04-27,C2182,0.81
2026-04-27,C2183,0.82
2026-04-27,C2184,0.83
2026-04-27,C2185,0.84
2026-04-27,C2186,0.85
2026-04-27,C2187,0.86
2026-04-27,C2188,0.87
2026-04-27,C2189,0.88
2026-04-27,C2190,0.89
2026-04-27,C2191,0.90
2026-04-27,C2192,0.91
2026-04-27,C2193,0.92
2026-04-27,C2194,0.93
2026-04-27,C2195,0.94
2026-04-27,C2196,0.95
2026-04-27,C2197,0.96
