StoreCode,SalesDate,PosNo,SalesNo,Jancode,ProductName,UsageCode,UsageName,UnitPrice,Quantity,LineAmount
0001,2026-05-01,3,1,4905005000011,洗剤,02,日用品,330,1,330
0001,2026-05-01,3,2,4901001000017,牛乳1L,01,食品,220,1,220
0001,2026-05-01,3,2,4905005000035,歯ブラシ,02,日用品,290,2,580
0001,2026-05-01,3,2,4903003000019,緑茶500ml,04,飲料,160,2,320
0001,2026-05-01,1,3,4904004000027,缶チューハイ,05,酒類,190,1,190
0001,2026-05-01,1,3,4905005000028,ティッシュ5箱,02,日用品,380,2,760
0001,2026-05-01,1,3,4905005000035,歯ブラシ,02,日用品,280,2,560
0001,2026-05-01,2,4,4904004000010,ビール350ml,05,酒類,250,2,500
0001,2026-05-01,2,4,4902002000025,チョコレート,03,菓子,200,1,200
0001,2026-05-01,3,5,4905005000035,歯ブラシ,02,日用品,290,1,290
0001,2026-05-01,3,5,4901001000031,卵10個,01,食品,260,1,260
0001,2026-05-01,3,5,4905005000011,洗剤,02,日用品,340,1,340
0001,2026-05-01,3,6,4902002000018,ポテトチップス,03,菓子,130,3,390
0001,2026-05-01,1,7,4901001000017,牛乳1L,01,食品,220,2,440
0001,2026-05-01,1,7,4903003000026,コーラ500ml,04,飲料,160,1,160
0001,2026-05-01,1,8,4901001000031,卵10個,01,食品,240,1,240
0001,2026-05-01,1,8,4905005000035,歯ブラシ,02,日用品,280,1,280
0001,2026-05-01,1,8,4905005000028,ティッシュ5箱,02,日用品,360,2,720
0001,2026-05-01,3,9,4901001000017,牛乳1L,01,食品,220,1,220
0001,2026-05-01,3,9,4902002000025,チョコレート,03,菓子,210,2,420
0001,2026-05-01,3,9,4904004000010,ビール350ml,05,酒類,230,2,460
0001,2026-05-01,3,9,4904004000027,缶チューハイ,05,酒類,180,1,180
0001,2026-05-01,1,10,4904004000027,缶チューハイ,05,酒類,190,2,380
0001,2026-05-01,1,10,4905005000011,洗剤,02,日用品,320,1,320
