StoreCode,SalesDate,PosNo,SlipNo,PlanCode,PlanName,CouponCode,ScannedMemberCode,CouponJan,IssueType,CouponName,StartDate,EndDate,MemberTargetType
0001,2026-05-01,3,1,9003,レシートクーポン,C1003,M1036,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-01,1,2,9001,5月会員限定セール,C1001,M1004,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0002,2026-05-01,2,1,9001,5月会員限定セール,C1001,M1002,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0002,2026-05-01,3,2,9003,レシートクーポン,C1003,M1030,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-01,2,3,9003,レシートクーポン,C1003,M1024,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-01,3,4,9001,5月会員限定セール,C1001,M1036,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0002,2026-05-02,3,5,9003,レシートクーポン,C1003,M1003,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-02,2,6,9002,アプリ配信クーポン,C1002,M1035,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-02,1,7,9003,レシートクーポン,C1003,M1035,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-04,3,3,9002,アプリ配信クーポン,C1002,M1014,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-04,3,4,9001,5月会員限定セール,C1001,M1020,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0002,2026-05-04,2,8,9003,レシートクーポン,C1003,M1001,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-04,2,9,9004,チラシ特売,C1004,M1022,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-04,3,10,9004,チラシ特売,C1004,M1001,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-04,3,11,9002,アプリ配信クーポン,C1002,M1037,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-05,1,5,9004,チラシ特売,C1004,M1015,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-05,1,6,9003,レシートクーポン,C1003,M1031,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-05,3,7,9001,5月会員限定セール,C1001,M1012,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-05,3,8,9002,アプリ配信クーポン,C1002,M1026,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-05,3,12,9001,5月会員限定セール,C1001,M1028,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-06,1,9,9002,アプリ配信クーポン,C1002,M1036,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-06,2,10,9001,5月会員限定セール,C1001,M1013,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-06,2,11,9004,チラシ特売,C1004,M1030,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-06,2,13,9003,レシートクーポン,C1003,M1035,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-06,1,14,9003,レシートクーポン,C1003,M1031,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-07,3,12,9002,アプリ配信クーポン,C1002,M1018,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-07,3,13,9004,チラシ特売,C1004,M1002,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-07,3,14,9001,5月会員限定セール,C1001,M1007,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-07,2,15,9002,アプリ配信クーポン,C1002,M1018,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-07,3,16,9004,チラシ特売,C1004,M1002,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
