StoreCode,SalesDate,PosNo,SlipNo,PlanCode,PlanName,CouponCode,ScannedMemberCode,CouponJan,IssueType,CouponName,StartDate,EndDate,MemberTargetType
0001,2026-05-01,3,1,9001,5月会員限定セール,C1001,M1011,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-01,1,2,9003,レシートクーポン,C1003,M1001,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-01,1,1,9002,アプリ配信クーポン,C1002,M1026,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-02,3,3,9004,チラシ特売,C1004,M1015,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-02,2,4,9001,5月会員限定セール,C1001,M1022,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-02,3,5,9004,チラシ特売,C1004,M1039,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-02,3,2,9002,アプリ配信クーポン,C1002,M1002,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-02,3,3,9004,チラシ特売,C1004,M1003,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-02,3,4,9004,チラシ特売,C1004,M1032,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-03,2,6,9001,5月会員限定セール,C1001,M1020,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0002,2026-05-03,3,5,9002,アプリ配信クーポン,C1002,M1004,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-03,1,6,9002,アプリ配信クーポン,C1002,M1000,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-04,3,7,9003,レシートクーポン,C1003,M1015,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-04,3,8,9001,5月会員限定セール,C1001,M1024,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-04,1,9,9003,レシートクーポン,C1003,M1006,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-04,2,10,9002,アプリ配信クーポン,C1002,M1003,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-04,2,7,9002,アプリ配信クーポン,C1002,M1022,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-05,3,11,9002,アプリ配信クーポン,C1002,M1010,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-05,3,12,9004,チラシ特売,C1004,M1031,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-05,1,13,9002,アプリ配信クーポン,C1002,M1020,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-05,3,8,9002,アプリ配信クーポン,C1002,M1001,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-06,2,14,9004,チラシ特売,C1004,M1018,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-06,1,15,9003,レシートクーポン,C1003,M1014,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-06,3,16,9001,5月会員限定セール,C1001,M1003,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-06,3,17,9001,5月会員限定セール,C1001,M1006,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0002,2026-05-06,3,9,9004,チラシ特売,C1004,M1007,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-06,1,10,9001,5月会員限定セール,C1001,M1022,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0002,2026-05-06,1,11,9003,レシートクーポン,C1003,M1036,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-06,3,12,9002,アプリ配信クーポン,C1002,M1032,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-07,2,18,9001,5月会員限定セール,C1001,M1027,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-07,2,19,9004,チラシ特売,C1004,M1016,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-07,3,13,9003,レシートクーポン,C1003,M1025,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-07,2,14,9001,5月会員限定セール,C1001,M1009,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0002,2026-05-07,2,15,9004,チラシ特売,C1004,M1004,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-07,1,16,9004,チラシ特売,C1004,M1034,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-07,2,17,9001,5月会員限定セール,C1001,M1007,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
