BusinessDate,CashierId,TransactionId,Time,Type,Amount,ItemCount,PaymentMethod,DiscountAmount,PointsEarned,PointsRedeemed,MembershipId,OriginalTransactionId,HasReceipt
2026-05-01,E001,T00011,09:05:36,Sale,5980,5,Cash,0,60,0,M1060,,
2026-05-01,E001,T00018,09:11:40,Sale,2810,1,Cash,0,28,0,M1092,,
2026-05-01,E001,T00039,09:22:35,Sale,1840,3,Cash,0,80,0,,,
2026-05-01,E001,T00037,09:35:36,Sale,3660,2,Cash,0,0,200,M9001,,
2026-05-01,E001,T00013,09:47:45,Sale,1030,4,Credit,0,10,0,M1279,,
2026-05-01,E001,T00024,10:15:36,Sale,5550,3,Cash,0,0,0,,,
2026-05-01,E001,T00019,10:19:34,Sale,1950,5,QR,0,20,0,M1145,,
2026-05-01,E001,T00041,10:37:19,Sale,680,3,Cash,0,0,200,,,
2026-05-01,E001,T00029,10:38:00,Return,4150,3,Credit,0,0,0,,,true
2026-05-01,E001,T00016,11:08:36,Sale,2240,5,Cash,0,0,0,,,
2026-05-01,E001,T00021,11:17:57,Sale,3680,2,Cash,0,37,0,M1205,,
2026-05-01,E001,T00025,11:38:22,Sale,410,2,Credit,0,0,0,,,
2026-05-01,E001,T00043,12:11:07,Sale,2480,1,Cash,0,0,300,M9001,,
2026-05-01,E001,T00044,12:12:30,Void,2480,1,Cash,0,0,0,,T00043,
2026-05-01,E001,T00010,13:09:30,Sale,1450,5,Cash,0,14,0,M1199,,
2026-05-01,E001,T00022,13:10:56,Sale,610,2,Credit,0,0,0,,,
2026-05-01,E001,T00032,13:18:27,Sale,1410,4,Cash,0,0,200,M9001,,
2026-05-01,E001,T00028,13:43:18,Sale,5370,4,Cash,0,0,0,,,
2026-05-01,E001,T00005,14:40:40,Sale,3070,1,Cash,0,0,0,,,
2026-05-01,E001,T00023,14:44:04,Sale,4910,2,Cash,0,49,0,M1143,,
2026-05-01,E001,T00035,15:02:22,Sale,3980,4,Cash,0,0,300,M9001,,
2026-05-01,E001,T00030,15:19:55,NoSale,0,0,Other,0,0,0,,,
2026-05-01,E001,T00040,15:20:45,Sale,2550,2,Cash,0,0,100,,,
2026-05-01,E001,T00036,15:36:14,Sale,1790,3,Cash,0,0,300,M9001,,
2026-05-01,E001,T00006,15:47:14,Sale,2820,3,Cash,0,28,0,M1297,,
2026-05-01,E001,T00033,15:56:40,Sale,3990,4,Cash,0,0,300,M9001,,
2026-05-01,E001,T00003,17:18:45,Sale,5780,1,Credit,0,0,0,,,
2026-05-01,E001,T00031,17:23:03,Sale,3120,2,Cash,0,0,500,M9001,,
2026-05-01,E001,T00027,17:28:19,Sale,2950,2,Cash,0,0,0,,,
2026-05-01,E001,T00026,17:30:44,Sale,5420,5,Credit,0,54,0,M1128,,
2026-05-01,E001,T00020,17:59:20,Sale,1330,2,Credit,0,0,0,,,
2026-05-01,E001,T00012,18:03:08,Sale,2150,3,Cash,0,0,0,,,
2026-05-01,E001,T00015,18:10:46,Sale,1650,1,Cash,0,0,0,,,
2026-05-01,E001,T00042,18:12:14,Sale,1240,3,Cash,0,0,100,,,
2026-05-01,E001,T00004,18:34:21,Sale,2850,1,Cash,0,28,0,M1109,,
2026-05-01,E001,T00034,18:40:12,Sale,1330,3,Cash,0,0,300,M9001,,
2026-05-01,E001,T00001,18:42:44,Sale,2930,3,Cash,0,0,0,,,
2026-05-01,E001,T00014,18:53:26,Sale,5590,3,Cash,0,56,0,M1000,,
2026-05-01,E001,T00009,19:22:30,Sale,3190,1,Cash,0,0,0,,,
2026-05-01,E001,T00002,19:48:18,Sale,3880,1,Cash,0,0,0,,,
2026-05-01,E001,T00017,20:16:48,Sale,2200,2,Credit,0,0,0,,,
2026-05-01,E001,T00008,20:16:58,Sale,400,5,QR,0,0,0,,,
2026-05-01,E001,T00007,20:44:52,Sale,3150,1,Cash,0,0,0,,,
2026-05-01,E001,T00038,20:55:56,Sale,3290,3,Cash,0,0,500,M9001,,
2026-05-02,E001,T00060,09:10:36,Sale,470,4,Credit,0,5,0,M1105,,
2026-05-02,E001,T00078,09:14:57,Sale,3750,4,Cash,0,0,300,M9001,,
2026-05-02,E001,T00075,09:16:19,Void,470,4,Credit,0,0,0,,T00060,
2026-05-02,E001,T00073,09:19:19,Sale,660,4,Credit,0,7,0,M1122,,
2026-05-02,E001,T00045,09:19:58,Sale,2210,5,QR,0,22,0,M1300,,
2026-05-02,E001,T00080,09:20:34,Sale,1270,4,Cash,0,0,300,M9001,,
2026-05-02,E001,T00067,09:27:02,Sale,760,1,Cash,0,8,0,M1262,,
2026-05-02,E001,T00056,09:55:17,Sale,2270,1,Cash,0,23,0,M1002,,
2026-05-02,E001,T00052,10:17:26,Sale,3130,2,Credit,0,31,0,M1150,,
2026-05-02,E001,T00076,10:32:04,Return,2200,1,Credit,0,0,0,,,true
2026-05-02,E001,T00054,10:33:00,Sale,5650,1,Cash,0,0,0,,,
2026-05-02,E001,T00077,10:38:13,Return,2720,3,GiftCard,0,0,0,,,true
2026-05-02,E001,T00050,11:04:25,Sale,4310,3,Cash,0,43,0,M1294,,
2026-05-02,E001,T00065,11:29:24,Sale,2120,1,Credit,0,21,0,M1170,,
2026-05-02,E001,T00087,11:45:37,Sale,1480,2,Cash,0,0,100,,,
2026-05-02,E001,T00085,12:09:53,Sale,2900,2,Cash,0,0,200,M9001,,
2026-05-02,E001,T00053,12:50:31,Sale,4980,3,Cash,0,0,0,,,
2026-05-02,E001,T00057,13:05:14,Sale,4700,1,Credit,250,47,0,M1206,,
2026-05-02,E001,T00071,13:08:06,Sale,3660,2,Credit,0,37,0,M1014,,
2026-05-02,E001,T00066,13:19:30,Sale,710,4,QR,0,7,0,M1296,,
2026-05-02,E001,T00059,14:24:29,Sale,2510,3,Cash,0,0,0,,,
2026-05-02,E001,T00079,14:38:53,Sale,2930,3,Cash,0,0,300,M9001,,
2026-05-02,E001,T00089,14:42:35,Sale,2730,2,Cash,0,0,100,,,
2026-05-02,E001,T00069,15:09:09,Sale,4670,4,Credit,0,0,0,,,
2026-05-02,E001,T00058,15:23:02,Sale,720,4,Credit,0,0,0,,,
2026-05-02,E001,T00049,15:23:25,Sale,2200,3,Cash,0,22,0,M1106,,
2026-05-02,E001,T00083,16:13:22,Sale,2820,3,Cash,0,0,500,M9001,,
