BusinessDate,CashierId,TransactionId,Time,Type,Amount,ItemCount,PaymentMethod,DiscountAmount,PointsEarned,PointsRedeemed,MembershipId,OriginalTransactionId,HasReceipt
2026-05-01,E001,T00019,09:08:51,Sale,2220,3,QR,0,0,0,,,
2026-05-01,E001,T00018,09:15:51,Sale,5540,1,Cash,0,0,0,,,
2026-05-01,E001,T00010,09:46:06,Sale,1460,1,Credit,0,0,0,,,
2026-05-01,E001,T00002,10:39:03,Sale,4350,1,Cash,0,0,0,,,
2026-05-01,E001,T00001,11:26:18,Sale,4450,1,Credit,0,0,0,,,
2026-05-01,E001,T00033,11:55:51,Return,5600,2,Cash,0,0,0,,,false
2026-05-01,E001,T00003,12:20:39,Sale,5740,1,Cash,0,0,0,,,
2026-05-01,E001,T00011,12:23:45,Sale,3080,5,Cash,0,31,0,M1102,,
2026-05-01,E001,T00022,12:43:38,Sale,2810,1,Credit,0,28,0,M1254,,
2026-05-01,E001,T00030,12:48:00,Return,5600,2,Cash,0,0,0,,,false
2026-05-01,E001,T00032,12:58:00,Return,5600,1,Cash,0,0,0,,,false
2026-05-01,E001,T00029,13:02:31,Void,2810,1,Credit,0,0,0,,T00022,
2026-05-01,E001,T00031,13:22:26,Return,5600,2,Cash,0,0,0,,,false
2026-05-01,E001,T00013,13:34:36,Sale,1530,4,Credit,0,15,0,M1083,,
2026-05-01,E001,T00007,13:34:57,Sale,4260,1,Credit,0,43,300,M1151,,
2026-05-01,E001,T00012,13:36:35,Sale,1170,5,Credit,0,0,0,,,
2026-05-01,E001,T00004,13:51:42,Sale,2250,2,QR,0,0,0,,,
2026-05-01,E001,T00028,13:56:27,Void,4260,1,Credit,0,0,0,,T00007,
2026-05-01,E001,T00027,14:02:02,Sale,1930,4,Credit,0,19,0,M1250,,
2026-05-01,E001,T00008,14:35:55,Sale,2310,4,GiftCard,0,23,0,M1122,,
2026-05-01,E001,T00026,14:46:07,Sale,4460,1,Cash,0,45,0,M1092,,
2026-05-01,E001,T00024,15:23:29,Sale,2980,1,Credit,0,0,0,,,
2026-05-01,E001,T00025,15:29:43,Sale,4100,4,Credit,0,0,0,,,
2026-05-01,E001,T00017,15:36:08,Sale,4630,3,Cash,250,46,0,M1188,,
2026-05-01,E001,T00034,15:51:57,Return,8020,3,Cash,0,0,0,,,false
2026-05-01,E001,T00009,16:55:42,Sale,2310,5,Cash,0,23,0,M1234,,
2026-05-01,E001,T00015,17:33:17,Sale,4710,1,Credit,0,47,0,M1289,,
2026-05-01,E001,T00016,17:47:17,Sale,5180,5,QR,0,0,0,,,
2026-05-01,E001,T00023,17:48:26,Sale,2610,4,Credit,0,26,0,M1008,,
2026-05-01,E001,T00021,17:59:36,Sale,2740,3,Cash,0,0,0,,,
2026-05-01,E001,T00014,18:37:39,Sale,5120,2,Cash,0,51,0,M1046,,
2026-05-01,E001,T00006,18:57:38,Sale,2430,1,Cash,0,24,0,M1225,,
2026-05-01,E001,T00005,19:45:24,Sale,5990,1,Cash,0,0,0,,,
2026-05-01,E001,T00020,20:27:16,Sale,1090,5,Credit,50,0,0,,,
2026-05-02,E001,T00047,09:15:29,Sale,5050,5,Credit,0,50,0,M1239,,
2026-05-02,E001,T00046,09:16:20,Sale,1260,3,Credit,0,0,0,,,
2026-05-02,E001,T00067,09:16:42,Return,4200,1,Cash,0,0,0,,,false
2026-05-02,E001,T00070,10:30:28,Return,10950,2,Cash,0,0,0,,,false
2026-05-02,E001,T00054,10:42:03,Sale,1190,2,Cash,0,12,0,M1086,,
2026-05-02,E001,T00061,10:45:31,Sale,2530,4,Credit,0,25,0,M1159,,
2026-05-02,E001,T00044,11:15:49,Sale,3840,2,Credit,0,38,0,M1087,,
2026-05-02,E001,T00063,11:27:34,Void,3840,2,Credit,0,0,0,,T00044,
2026-05-02,E001,T00057,11:34:29,Sale,2570,1,Credit,0,26,0,M1181,,
2026-05-02,E001,T00066,12:09:29,Return,3300,1,Cash,0,0,0,,,true
2026-05-02,E001,T00036,12:18:25,Sale,5770,5,Cash,0,0,0,,,
2026-05-02,E001,T00038,13:32:38,Sale,440,3,GiftCard,0,0,0,,,
2026-05-02,E001,T00055,13:53:28,Sale,2720,4,Cash,100,27,0,M1261,,
2026-05-02,E001,T00058,14:34:05,Sale,2390,2,Cash,0,24,0,M1007,,
2026-05-02,E001,T00041,15:10:18,Sale,3490,5,Cash,0,35,0,M1127,,
2026-05-02,E001,T00053,15:17:57,Sale,3360,1,Cash,0,34,0,M1240,,
2026-05-02,E001,T00035,16:02:01,Sale,1440,1,Credit,200,0,0,,,
2026-05-02,E001,T00068,16:09:18,Return,4200,1,Cash,0,0,0,,,false
2026-05-02,E001,T00039,16:41:21,Sale,5300,1,Credit,0,53,50,M1086,,
2026-05-02,E001,T00060,16:45:05,Sale,1520,2,Cash,0,15,0,M1037,,
2026-05-02,E001,T00056,16:58:45,Sale,4700,1,Credit,0,0,0,,,
2026-05-02,E001,T00049,17:33:57,Sale,1700,3,Credit,0,17,0,M1233,,
2026-05-02,E001,T00040,17:39:20,Sale,1160,3,Cash,200,12,0,M1051,,
2026-05-02,E001,T00045,17:43:31,Sale,4810,2,Credit,0,48,400,M1037,,
2026-05-02,E001,T00051,17:53:39,Sale,1630,5,Credit,0,16,0,M1050,,
2026-05-02,E001,T00065,17:57:52,Return,4320,2,Credit,0,0,0,,,false
2026-05-02,E001,T00062,18:00:57,Void,1160,3,Cash,0,0,0,,T00040,
2026-05-02,E001,T00052,18:12:24,Sale,2810,4,Credit,0,0,0,,,
2026-05-02,E001,T00064,18:23:27,Void,2810,4,Credit,0,0,0,,T00052,
2026-05-02,E001,T00059,18:27:05,Sale,5930,2,Credit,0,0,0,,,
2026-05-02,E001,T00048,20:07:09,Sale,2150,4,QR,0,22,0,M1248,,
2026-05-02,E001,T00050,20:27:21,Sale,3440,5,Credit,0,34,0,M1044,,
2026-05-02,E001,T00043,20:27:29,Sale,1900,3,Credit,0,19,0,M1288,,
2026-05-02,E001,T00069,20:30:28,Return,4200,1,Cash,0,0,0,,,false
2026-05-02,E001,T00037,20:41:18,Sale,5940,4,Cash,0,59,0,M1186,,
2026-05-02,E001,T00042,20:58:57,Sale,4170,3,Cash,0,42,200,M1273,,
2026-05-03,E001,T00089,09:07:52,Sale,3280,5,Cash,0,33,0,M1180,,
2026-05-03,E001,T00098,09:30:38,Void,3280,5,Cash,0,0,0,,T00089,
2026-05-03,E001,T00086,10:58:05,Sale,880,3,QR,0,0,0,,,
2026-05-03,E001,T00085,11:35:10,Sale,2720,2,Cash,0,0,0,,,
2026-05-03,E001,T00102,11:41:31,Return,3980,2,Cash,0,0,0,,,false
2026-05-03,E001,T00077,12:30:28,Sale,3230,4,Cash,0,0,0,,,
2026-05-03,E001,T00071,12:36:44,Sale,4830,4,Credit,0,0,0,,,
2026-05-03,E001,T00104,12:48:31,Return,10270,2,Cash,0,0,0,,,false
2026-05-03,E001,T00080,14:02:34,Sale,3610,4,Credit,0,0,0,,,
2026-05-03,E001,T00073,14:15:45,Sale,2680,4,Credit,0,27,0,M1295,,
2026-05-03,E001,T00083,14:24:19,Sale,1760,1,Cash,0,18,0,M1188,,
2026-05-03,E001,T00101,14:24:49,Return,3980,1,Cash,0,0,0,,,false
2026-05-03,E001,T00090,14:32:28,Sale,640,1,GiftCard,0,0,0,,,
2026-05-03,E001,T00078,14:55:12,Sale,2780,2,GiftCard,0,28,0,M1066,,
2026-05-03,E001,T00087,15:06:16,Sale,4110,2,Credit,0,41,0,M1242,,
2026-05-03,E001,T00074,15:33:27,Sale,3020,1,Cash,200,30,0,M1195,,
2026-05-03,E001,T00088,15:53:39,Sale,5610,2,Credit,0,0,0,,,
2026-05-03,E001,T00094,16:21:47,Sale,2100,2,Credit,0,0,0,,,
2026-05-03,E001,T00091,16:21:55,Sale,2690,5,Credit,0,0,0,,,
2026-05-03,E001,T00092,17:02:07,Sale,3860,2,Credit,0,0,0,,,
2026-05-03,E001,T00097,17:12:40,Sale,5710,2,Cash,0,57,0,M1159,,
2026-05-03,E001,T00084,17:21:06,Sale,5960,5,Cash,0,60,0,M1089,,
2026-05-03,E001,T00099,17:36:16,Void,5710,2,Cash,0,0,0,,T00097,
2026-05-03,E001,T00072,17:53:36,Sale,3200,5,Cash,0,0,0,,,
2026-05-03,E001,T00075,18:13:36,Sale,770,2,Credit,0,8,200,M1217,,
2026-05-03,E001,T00093,18:44:41,Sale,4900,2,Cash,0,49,0,M1252,,
2026-05-03,E001,T00076,18:53:31,Sale,2800,2,Credit,0,28,0,M1284,,
2026-05-03,E001,T00082,19:46:28,Sale,5680,3,Cash,0,57,0,M1095,,
2026-05-03,E001,T00100,20:08:49,Return,3980,2,Cash,0,0,0,,,false
2026-05-03,E001,T00095,20:16:36,Sale,2370,3,Cash,0,0,0,,,
2026-05-03,E001,T00079,20:22:42,Sale,4470,4,Credit,0,0,0,,,
2026-05-03,E001,T00103,20:35:20,Return,3980,1,Cash,0,0,0,,,false
2026-05-03,E001,T00081,20:37:19,Sale,1660,1,Cash,0,17,0,M1276,,
2026-05-03,E001,T00096,20:59:07,Sale,2880,2,Credit,0,29,0,M1135,,
2026-05-04,E001,T00124,09:16:54,Sale,5350,5,Cash,0,0,0,,,
2026-05-04,E001,T00133,09:52:21,Sale,5600,4,Cash,0,56,0,M1253,,
2026-05-04,E001,T00129,09:59:58,Sale,2250,3,Credit,0,22,0,M1171,,
2026-05-04,E001,T00117,10:18:18,Sale,4120,2,Cash,0,41,0,M1249,,
2026-05-04,E001,T00125,10:19:02,Sale,5440,3,QR,100,54,0,M1139,,
2026-05-04,E001,T00140,11:10:49,Return,6800,1,Cash,0,0,0,,,false
2026-05-04,E001,T00123,11:57:52,Sale,2070,2,GiftCard,0,21,0,M1278,,
2026-05-04,E001,T00107,12:24:02,Sale,480,4,Cash,0,5,0,M1078,,
2026-05-04,E001,T00135,12:43:07,Sale,3890,1,Cash,0,0,0,,,
2026-05-04,E001,T00121,13:56:26,Sale,3550,2,Credit,0,0,0,,,
2026-05-04,E001,T00130,13:59:53,Sale,4260,2,Cash,0,43,0,M1214,,
2026-05-04,E001,T00127,14:18:55,Sale,1440,4,Credit,0,14,0,M1001,,
2026-05-04,E001,T00108,14:22:43,Sale,4080,5,Cash,0,0,0,,,
2026-05-04,E001,T00111,15:09:06,Sale,5650,1,Cash,0,0,0,,,
2026-05-04,E001,T00142,15:21:13,Return,6800,2,Cash,0,0,0,,,false
2026-05-04,E001,T00109,15:26:42,Sale,3490,2,QR,0,0,0,,,
2026-05-04,E001,T00120,15:27:50,Sale,5670,1,Cash,0,57,0,M1079,,
2026-05-04,E001,T00141,15:30:25,Return,6800,2,Cash,0,0,0,,,false
2026-05-04,E001,T00112,15:47:12,Sale,1850,1,Cash,0,0,0,,,
2026-05-04,E001,T00122,15:56:48,Sale,4440,1,Credit,0,0,0,,,
2026-05-04,E001,T00119,16:43:51,Sale,2970,1,Credit,0,0,0,,,
2026-05-04,E001,T00114,16:46:49,Sale,350,3,Credit,0,0,0,,,
2026-05-04,E001,T00115,16:53:43,Sale,3500,5,Credit,0,0,0,,,
2026-05-04,E001,T00143,17:06:12,Return,6800,2,Cash,0,0,0,,,false
2026-05-04,E001,T00138,17:11:15,Void,350,3,Credit,0,0,0,,T00114,
2026-05-04,E001,T00113,17:20:42,Sale,5740,1,Cash,0,57,0,M1231,,
2026-05-04,E001,T00118,17:24:38,Sale,620,2,Credit,0,0,0,,,
2026-05-04,E001,T00105,17:47:42,Sale,1050,1,Credit,100,0,0,,,
2026-05-04,E001,T00116,18:16:59,Sale,3310,1,Cash,0,33,0,M1277,,
2026-05-04,E001,T00126,18:18:12,Sale,1530,3,Credit,0,15,0,M1159,,
2026-05-04,E001,T00144,18:20:59,Return,8860,3,Cash,0,0,0,,,false
2026-05-04,E001,T00137,18:29:23,Sale,2340,2,Cash,0,23,0,M1113,,
2026-05-04,E001,T00132,18:35:36,Sale,3220,1,Credit,150,32,0,M1020,,
2026-05-04,E001,T00139,18:45:26,Void,3220,1,Credit,0,0,0,,T00132,
2026-05-04,E001,T00136,19:00:33,Sale,5910,1,Cash,0,59,0,M1232,,
2026-05-04,E001,T00131,19:04:38,Sale,4690,2,Credit,0,0,0,,,
2026-05-04,E001,T00106,19:09:20,Sale,2490,3,Cash,0,25,0,M1274,,
