StoreCode,SalesDate,PosNo,SlipNo,PlanCode,PlanName,CouponCode,ScannedMemberCode,CouponJan,IssueType,CouponName,StartDate,EndDate,MemberTargetType
0001,2026-05-01,2,1,9002,アプリ配信クーポン,C1002,M1024,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-01,1,1,9004,チラシ特売,C1004,M1024,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-01,1,2,9004,チラシ特売,C1004,M1035,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-01,1,3,9004,チラシ特売,C1004,M1020,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-01,1,4,9003,レシートクーポン,C1003,M1017,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-02,1,2,9004,チラシ特売,C1004,M1024,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-02,1,3,9003,レシートクーポン,C1003,M1002,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-02,1,4,9002,アプリ配信クーポン,C1002,M1014,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-02,1,5,9001,5月会員限定セール,C1001,M1007,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0001,2026-05-02,3,6,9003,レシートクーポン,C1003,M1014,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-02,3,5,9003,レシートクーポン,C1003,M1025,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-03,3,7,9004,チラシ特売,C1004,M1002,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-03,3,8,9002,アプリ配信クーポン,C1002,M1004,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-03,1,9,9004,チラシ特売,C1004,M1016,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-03,1,10,9004,チラシ特売,C1004,M1008,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-03,1,11,9002,アプリ配信クーポン,C1002,M1001,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-03,3,6,9002,アプリ配信クーポン,C1002,M1027,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-03,1,7,9003,レシートクーポン,C1003,M1005,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-03,3,8,9001,5月会員限定セール,C1001,M1013,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0002,2026-05-03,3,9,9003,レシートクーポン,C1003,M1033,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-04,2,12,9004,チラシ特売,C1004,M1007,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-04,3,13,9002,アプリ配信クーポン,C1002,M1003,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-04,3,10,9003,レシートクーポン,C1003,M1021,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-05,3,14,9003,レシートクーポン,C1003,M1000,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-05,1,15,9001,5月会員限定セール,C1001,M1022,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0002,2026-05-05,2,11,9001,5月会員限定セール,C1001,M1010,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0002,2026-05-05,2,12,9003,レシートクーポン,C1003,M1024,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-06,1,16,9002,アプリ配信クーポン,C1002,M1010,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-06,2,17,9003,レシートクーポン,C1003,M1034,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-06,3,13,9004,チラシ特売,C1004,M1004,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-07,3,18,9002,アプリ配信クーポン,C1002,M1017,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-07,3,14,9003,レシートクーポン,C1003,M1023,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-07,2,15,9001,5月会員限定セール,C1001,M1016,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0002,2026-05-07,3,16,9004,チラシ特売,C1004,M1035,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-07,2,17,9004,チラシ特売,C1004,M1031,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
