BusinessDate,CashierId,TransactionId,Time,Type,Amount,ItemCount,PaymentMethod,DiscountAmount,PointsEarned,PointsRedeemed,MembershipId,OriginalTransactionId,HasReceipt
2026-05-01,E001,T00010,09:02:18,Sale,2710,2,QR,0,0,0,,,
2026-05-01,E001,T00011,09:04:31,Sale,1390,3,Cash,0,14,0,M1013,,
2026-05-01,E001,T00006,09:23:11,Sale,2870,5,QR,0,0,0,,,
2026-05-01,E001,T00029,09:30:45,Void,2870,5,QR,0,0,0,,T00006,
2026-05-01,E001,T00036,09:56:10,Sale,2600,3,Cash,0,0,0,,,
2026-05-01,E001,T00037,09:57:08,Void,2600,3,Cash,0,0,0,,T00036,
2026-05-01,E001,T00024,10:17:22,Sale,2090,4,Credit,0,21,0,M1094,,
2026-05-01,E001,T00008,11:14:22,Sale,1030,4,Cash,0,0,0,,,
2026-05-01,E001,T00032,11:24:25,Sale,5500,2,Cash,0,0,0,,,
2026-05-01,E001,T00033,11:25:33,Void,5500,2,Cash,0,0,0,,T00032,
2026-05-01,E001,T00004,11:51:26,Sale,340,5,Credit,0,3,0,M1019,,
2026-05-01,E001,T00012,12:19:33,Sale,2940,5,Credit,0,29,0,M1129,,
2026-05-01,E001,T00018,13:16:35,Sale,3060,3,Credit,0,0,0,,,
2026-05-01,E001,T00021,13:39:57,Sale,560,2,Cash,0,0,0,,,
2026-05-01,E001,T00022,13:50:33,Sale,3080,5,Cash,100,31,0,M1099,,
2026-05-01,E001,T00003,14:16:39,Sale,620,5,Credit,0,0,0,,,
2026-05-01,E001,T00009,14:52:19,Sale,2080,4,Cash,0,0,0,,,
2026-05-01,E001,T00019,15:05:00,Sale,3980,4,Credit,0,40,0,M1299,,
2026-05-01,E001,T00017,15:11:37,Sale,5990,4,Credit,0,60,0,M1079,,
2026-05-01,E001,T00007,15:24:56,Sale,3080,3,Credit,0,0,0,,,
2026-05-01,E001,T00023,15:36:01,Sale,5620,2,Cash,0,56,0,M1242,,
2026-05-01,E001,T00014,16:39:43,Sale,950,1,Credit,0,10,0,M1264,,
2026-05-01,E001,T00034,16:42:11,Sale,1710,3,Cash,0,17,0,M1035,,
2026-05-01,E001,T00035,16:43:03,Void,1710,3,Cash,0,0,0,,T00034,
2026-05-01,E001,T00040,17:22:32,Sale,3090,2,Cash,0,0,0,,,
2026-05-01,E001,T00041,17:23:21,Void,3090,2,Cash,0,0,0,,T00040,
2026-05-01,E001,T00026,17:28:10,Sale,2540,4,Credit,0,25,0,M1159,,
2026-05-01,E001,T00038,17:45:06,Sale,5530,5,Cash,0,0,0,,,
2026-05-01,E001,T00039,17:46:25,Void,5530,5,Cash,0,0,0,,T00038,
2026-05-01,E001,T00028,17:59:08,Sale,2730,1,Credit,0,0,0,,,
2026-05-01,E001,T00027,18:29:44,Sale,4950,5,QR,0,0,0,,,
2026-05-01,E001,T00015,18:37:38,Sale,3780,1,Credit,0,0,0,,,
2026-05-01,E001,T00020,18:41:57,Sale,3210,5,Cash,0,0,0,,,
2026-05-01,E001,T00016,18:49:16,Sale,3330,4,Cash,0,33,0,M1258,,
2026-05-01,E001,T00002,18:54:05,Sale,5580,4,Cash,0,56,0,M1298,,
2026-05-01,E001,T00025,18:58:46,Sale,500,1,GiftCard,0,5,0,M1168,,
2026-05-01,E001,T00001,19:19:01,Sale,2750,2,Cash,0,0,0,,,
2026-05-01,E001,T00030,20:30:59,Sale,1610,5,Cash,0,0,0,,,
2026-05-01,E001,T00031,20:32:15,Void,1610,5,Cash,0,0,0,,T00030,
2026-05-01,E001,T00042,20:45:15,Sale,2950,3,Cash,0,0,0,,,
2026-05-01,E001,T00043,20:46:10,Void,2950,3,Cash,0,0,0,,T00042,
2026-05-01,E001,T00013,20:52:06,Sale,4150,1,Credit,0,0,0,,,
2026-05-01,E001,T00005,20:53:24,Sale,2420,5,Cash,0,24,0,M1127,,
2026-05-02,E001,T00078,09:40:22,Sale,5160,2,Cash,0,0,0,,,
2026-05-02,E001,T00079,09:41:16,Void,5160,2,Cash,0,0,0,,T00078,
2026-05-02,E001,T00058,10:05:37,Sale,4130,2,Cash,0,41,200,M1053,,
2026-05-02,E001,T00060,10:59:33,Sale,1710,3,Cash,0,0,0,,,
2026-05-02,E001,T00044,11:10:48,Sale,5520,4,Credit,0,55,50,M1226,,
2026-05-02,E001,T00068,11:56:32,Sale,5180,2,Credit,0,52,200,M1236,,
2026-05-02,E001,T00071,11:56:53,Sale,5370,2,Cash,0,0,0,,,
2026-05-02,E001,T00080,12:03:42,Sale,3680,1,Cash,0,0,0,,,
2026-05-02,E001,T00081,12:04:39,Void,3680,1,Cash,0,0,0,,T00080,
2026-05-02,E001,T00062,12:10:52,Sale,3970,4,Credit,0,40,0,M1148,,
2026-05-02,E001,T00063,12:10:52,Sale,4820,5,GiftCard,150,48,0,M1102,,
2026-05-02,E001,T00045,12:23:43,Sale,410,4,Cash,0,4,0,M1015,,
2026-05-02,E001,T00072,12:31:32,Void,410,4,Cash,0,0,0,,T00045,
2026-05-02,E001,T00073,12:59:14,Return,3640,3,Cash,0,0,0,,,true
2026-05-02,E001,T00066,13:21:26,Sale,1800,4,Credit,0,18,0,M1019,,
2026-05-02,E001,T00046,13:26:47,Sale,4250,5,Credit,0,0,0,,,
2026-05-02,E001,T00057,14:39:26,Sale,1910,4,Credit,0,0,0,,,
2026-05-02,E001,T00076,15:12:53,Sale,2970,2,Cash,0,0,0,,,
2026-05-02,E001,T00077,15:13:49,Void,2970,2,Cash,0,0,0,,T00076,
2026-05-02,E001,T00052,15:26:03,Sale,5770,5,Credit,0,58,0,M1151,,
2026-05-02,E001,T00049,15:26:22,Sale,1980,1,Cash,0,20,0,M1131,,
2026-05-02,E001,T00053,15:39:13,Sale,3820,2,Credit,0,38,0,M1150,,
2026-05-02,E001,T00065,15:50:46,Sale,2640,1,Cash,0,0,0,,,
2026-05-02,E001,T00056,16:06:24,Sale,1200,4,Credit,0,12,0,M1070,,
2026-05-02,E001,T00084,16:16:48,Sale,3120,5,Cash,0,0,0,,,
2026-05-02,E001,T00085,16:17:39,Void,3120,5,Cash,0,0,0,,T00084,
2026-05-02,E001,T00074,16:17:49,Sale,1300,3,Cash,0,0,0,,,
2026-05-02,E001,T00075,16:19:01,Void,1300,3,Cash,0,0,0,,T00074,
2026-05-02,E001,T00051,16:27:04,Sale,3700,2,Credit,0,0,0,,,
2026-05-02,E001,T00048,17:32:11,Sale,2540,3,Cash,0,0,0,,,
2026-05-02,E001,T00064,17:46:37,Sale,3020,3,Credit,0,0,0,,,
2026-05-02,E001,T00067,18:17:17,Sale,5070,2,Cash,0,51,0,M1174,,
2026-05-02,E001,T00069,18:19:24,Sale,2470,4,Cash,0,0,0,,,
2026-05-02,E001,T00082,18:33:43,Sale,3580,2,Cash,0,0,0,,,
2026-05-02,E001,T00083,18:34:52,Void,3580,2,Cash,0,0,0,,T00082,
2026-05-02,E001,T00047,18:44:39,Sale,3730,2,Credit,0,0,0,,,
2026-05-02,E001,T00050,19:06:10,Sale,5070,1,Cash,0,0,0,,,
2026-05-02,E001,T00070,19:17:52,Sale,1580,3,Credit,0,16,0,M1175,,
2026-05-02,E001,T00061,19:27:33,Sale,5940,1,Cash,0,59,0,M1128,,
2026-05-02,E001,T00086,19:45:43,Sale,5390,3,Cash,0,0,0,,,
2026-05-02,E001,T00087,19:46:51,Void,5390,3,Cash,0,0,0,,T00086,
2026-05-02,E001,T00059,20:03:06,Sale,300,4,Credit,0,3,0,M1213,,
2026-05-02,E001,T00054,20:09:08,Sale,3030,1,Credit,0,30,0,M1228,,
2026-05-02,E001,T00055,20:53:38,Sale,5720,2,Cash,50,0,0,,,
2026-05-03,E001,T00119,09:08:11,Sale,4530,5,Cash,0,0,0,,,
2026-05-03,E001,T00120,09:09:19,Void,4530,5,Cash,0,0,0,,T00119,
2026-05-03,E001,T00113,10:22:03,Sale,3240,5,Cash,0,32,0,M1181,,
2026-05-03,E001,T00095,10:37:26,Sale,920,2,Credit,0,9,0,M1188,,
2026-05-03,E001,T00110,10:40:25,Sale,1370,5,Credit,0,0,0,,,
2026-05-03,E001,T00097,11:18:21,Sale,1580,4,Credit,0,16,0,M1266,,
2026-05-03,E001,T00106,11:40:06,Sale,3700,5,Credit,150,0,0,,,
2026-05-03,E001,T00102,11:44:27,Sale,1340,3,GiftCard,50,0,0,,,
2026-05-03,E001,T00117,13:07:05,Sale,4350,1,Credit,0,0,0,,,
2026-05-03,E001,T00118,13:55:14,Return,3690,2,Cash,0,0,0,,,false
2026-05-03,E001,T00123,14:04:23,Sale,5170,5,Cash,0,0,0,,,
2026-05-03,E001,T00124,14:05:37,Void,5170,5,Cash,0,0,0,,T00123,
2026-05-03,E001,T00091,14:47:23,Sale,5400,1,QR,0,0,0,,,
2026-05-03,E001,T00105,14:53:35,Sale,2860,5,GiftCard,0,0,0,,,
2026-05-03,E001,T00121,15:08:04,Sale,3520,3,Cash,0,0,0,,,
2026-05-03,E001,T00122,15:09:20,Void,3520,3,Cash,0,0,0,,T00121,
2026-05-03,E001,T00093,15:29:53,Sale,4280,5,Credit,0,43,0,M1028,,
2026-05-03,E001,T00125,15:42:02,Sale,2230,4,Cash,0,0,0,,,
2026-05-03,E001,T00126,15:43:21,Void,2230,4,Cash,0,0,0,,T00125,
2026-05-03,E001,T00099,15:50:22,Sale,960,2,Cash,0,10,0,M1041,,
2026-05-03,E001,T00090,15:55:43,Sale,2840,1,Cash,50,0,0,,,
2026-05-03,E001,T00109,15:56:24,Sale,4720,1,Credit,0,47,0,M1021,,
2026-05-03,E001,T00114,15:58:22,Sale,3750,5,Cash,0,0,0,,,
2026-05-03,E001,T00094,16:03:37,Sale,2970,2,Credit,0,30,0,M1087,,
2026-05-03,E001,T00104,16:27:23,Sale,1730,2,QR,0,0,0,,,
2026-05-03,E001,T00098,16:31:01,Sale,4910,2,Credit,100,49,0,M1075,,
2026-05-03,E001,T00112,16:36:36,Sale,4070,4,Credit,0,41,0,M1169,,
2026-05-03,E001,T00103,16:46:58,Sale,1850,3,QR,0,18,0,M1016,,
2026-05-03,E001,T00107,16:57:13,Sale,1220,4,Cash,0,12,0,M1078,,
