BusinessDate,CashierId,TransactionId,Time,Type,Amount,ItemCount,PaymentMethod,DiscountAmount,PointsEarned,PointsRedeemed,MembershipId,OriginalTransactionId,HasReceipt
2026-05-01,E001,T00035,09:33:17,Return,2170,2,Cash,0,0,0,,,true
2026-05-01,E001,T00003,09:40:08,Sale,1610,4,Credit,0,0,0,,,
2026-05-01,E001,T00011,09:59:34,Sale,1610,5,Cash,0,0,0,,,
2026-05-01,E001,T00019,10:49:19,Sale,4140,4,Credit,0,41,0,M1190,,
2026-05-01,E001,T00009,10:54:43,Sale,1430,2,Credit,0,14,0,M1258,,
2026-05-01,E001,T00029,11:17:25,Sale,1720,5,Cash,0,17,0,M1292,,
2026-05-01,E001,T00005,11:19:15,Sale,1320,1,Cash,0,13,0,M1109,,
2026-05-01,E001,T00025,12:36:27,Sale,1140,3,Credit,0,0,0,,,
2026-05-01,E001,T00031,12:40:04,Sale,4520,3,Credit,0,0,0,,,
2026-05-01,E001,T00014,12:45:03,Sale,1190,4,Cash,0,12,0,M1267,,
2026-05-01,E001,T00030,12:53:00,Sale,3200,3,Credit,0,32,0,M1096,,
2026-05-01,E001,T00016,13:05:29,Sale,5410,2,Credit,0,54,0,M1241,,
2026-05-01,E001,T00024,13:08:36,Sale,5950,2,Credit,0,60,0,M1121,,
2026-05-01,E001,T00022,14:04:15,Sale,5330,5,Credit,0,0,0,,,
2026-05-01,E001,T00021,14:28:29,Sale,5980,1,Cash,0,0,0,,,
2026-05-01,E001,T00010,14:30:10,Sale,3240,2,Cash,0,0,0,,,
2026-05-01,E001,T00028,14:49:24,Sale,440,1,Cash,0,0,0,,,
2026-05-01,E001,T00026,15:15:21,Sale,3380,2,Cash,50,0,0,,,
2026-05-01,E001,T00008,15:16:57,Sale,5630,5,Cash,0,56,0,M1123,,
2026-05-01,E001,T00036,15:39:31,NoSale,0,0,Other,0,0,0,,,
2026-05-01,E001,T00007,16:07:39,Sale,2780,3,Credit,0,0,0,,,
2026-05-01,E001,T00027,16:12:39,Sale,3250,3,Cash,0,0,0,,,
2026-05-01,E001,T00015,16:46:54,Sale,4520,4,QR,0,0,0,,,
2026-05-01,E001,T00001,17:12:55,Sale,5100,4,QR,0,51,0,M1203,,
2026-05-01,E001,T00006,17:22:26,Sale,2550,2,Cash,0,26,0,M1179,,
2026-05-01,E001,T00033,17:29:24,Void,5100,4,QR,0,0,0,,T00001,
2026-05-01,E001,T00002,17:40:01,Sale,660,5,Cash,0,7,0,M1267,,
2026-05-01,E001,T00020,18:48:42,Sale,5940,5,Credit,0,0,0,,,
