StoreCode,SalesDate,PosNo,SlipNo,PlanCode,PlanName,CouponCode,ScannedMemberCode,CouponJan,IssueType,CouponName,StartDate,EndDate,MemberTargetType
0001,2026-05-01,2,1,9003,レシートクーポン,C1003,M1008,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-01,2,1,9003,レシートクーポン,C1003,M1019,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-02,2,2,9002,アプリ配信クーポン,C1002,M1027,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-02,1,3,9002,アプリ配信クーポン,C1002,M1033,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-02,2,4,9004,チラシ特売,C1004,M1022,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-03,3,2,9004,チラシ特売,C1004,M1004,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-03,2,5,9003,レシートクーポン,C1003,M1032,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-04,3,6,9002,アプリ配信クーポン,C1002,M1017,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-05,2,3,9003,レシートクーポン,C1003,M1003,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0001,2026-05-05,1,4,9003,レシートクーポン,C1003,M1036,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-05,3,7,9004,チラシ特売,C1004,M1014,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-05,2,8,9002,アプリ配信クーポン,C1002,M1014,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-06,1,5,9004,チラシ特売,C1004,M1020,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-06,1,6,9002,アプリ配信クーポン,C1002,M1006,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-06,1,9,9004,チラシ特売,C1004,M1024,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-06,2,10,9003,レシートクーポン,C1003,M1026,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-06,3,11,9003,レシートクーポン,C1003,M1006,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-06,1,12,9001,5月会員限定セール,C1001,M1029,2900000010019,DM,会員限定10%OFF,2026-05-01,2026-05-14,SpecifiedMembers
0002,2026-05-06,3,13,9002,アプリ配信クーポン,C1002,M1010,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-07,2,7,9004,チラシ特売,C1004,M1001,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-07,1,8,9002,アプリ配信クーポン,C1002,M1030,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-07,1,9,9004,チラシ特売,C1004,M1039,2900000010040,Flyer,チラシ100円引,2026-05-01,2026-05-14,AllMembers
0001,2026-05-07,2,10,9002,アプリ配信クーポン,C1002,M1024,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-07,1,14,9003,レシートクーポン,C1003,M1019,2900000010033,Receipt,次回30円引,2026-05-01,2026-05-07,None
0002,2026-05-07,3,15,9002,アプリ配信クーポン,C1002,M1009,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
0002,2026-05-07,3,16,9002,アプリ配信クーポン,C1002,M1039,2900000010026,Other,アプリ限定50円引,2026-05-01,2026-05-14,AllMembers
